Date,TweetID,User,Location,Tweet,Likes_Count,Retweet_Count,Quote_Count,Reply_Count
2025-01-12 14:41:51+00:00,1878452334042243304,Adekunle_Bo,"Lagos, Nigeria","RT @ayindeautos: The bus driver is actually correct,
TRAFFICATING LEFT at this point means LEFT IS NOT SAFE

KINDLY REPOST to educate other…",0,13,0,0
2025-01-12 14:39:56+00:00,1878451854348022056,Kolawole11960,,"RT @Mrfizzy_10: Lisabi 2 A Legend is Born is finally out, and I’m more than impressed it’s absolutely captivating! Pride can ruin a good pe…",0,15,0,0
2025-01-12 14:28:26+00:00,1878448960286683275,dxh8932,,"#LijoNo #حرائق_لوس_أنجلوس #حرائق_كالفورنيا #LisabiALegendIsBorn #StarAcademy #StarAcademy #LosAngelesFires #HarshadChopda #SCPSLB #PSVAZ #FELIP #fundamentalpapereducation #FELIPFiresUpDUNK #Michoacan #MarineEnFinale 
#سالم_بن_جديع https://t.co/LyenHqXaYI",0,0,0,0
2025-01-12 14:27:24+00:00,1878448699262591035,TheDimejiLateef,Nigeria,"RT @dahjesuboy: My rate 9/10 why there's originality and strong continiuty

I applaud my boss. Welldone @TheDimejiLateef

My notification n…",0,1,0,0
2025-01-12 14:23:24+00:00,1878447691820122373,Wimfatanya_nisi,,"RT @Mrfizzy_10: Lisabi 2 A Legend is Born is finally out, and I’m more than impressed it’s absolutely captivating! Pride can ruin a good pe…",0,15,0,0
2025-01-12 14:22:41+00:00,1878447511326560609,Keefayahq,Nigeria,RT @Gabbycosta06: The way i have  meticulously avoided Lisabi on Twitter  ehn...@TheDimejiLateef  notifications wan wound me but mio panic.…,0,2,0,0
2025-01-12 14:20:48+00:00,1878447040033653115,zxLopy970,,"#LosAngelesFire #EmiratesFACup #LijoNo #حرائق_لوس_أنجلوس #حرائق_كالفورنيا #LisabiALegendIsBorn #StarAcademy #StarAcademy #LosAngelesFires #HarshadChopda #SCPSLB #PSVAZ #FELIP #fundamentalpapereducation #FELIPFiresUpDUNK #Michoacan #MarineEnFinale 
#سالم_بن_جديع
10 https://t.co/9p63mHhhYs",0,0,0,0
2025-01-12 14:20:38+00:00,1878446995599200441,zxLopy970,,"#LosAngelesFire #EmiratesFACup #LijoNo #حرائق_لوس_أنجلوس #حرائق_كالفورنيا #LisabiALegendIsBorn #StarAcademy #StarAcademy #LosAngelesFires #HarshadChopda #SCPSLB #PSVAZ #FELIP #fundamentalpapereducation #FELIPFiresUpDUNK #Michoacan #MarineEnFinale 
#سالم_بن_جديع
9 https://t.co/9p63mHhhYs",0,0,0,0
2025-01-12 14:20:27+00:00,1878446950942375977,zxLopy970,,"#LosAngelesFire #EmiratesFACup #LijoNo #حرائق_لوس_أنجلوس #حرائق_كالفورنيا #LisabiALegendIsBorn #StarAcademy #StarAcademy #LosAngelesFires #HarshadChopda #SCPSLB #PSVAZ #FELIP #fundamentalpapereducation #FELIPFiresUpDUNK #Michoacan #MarineEnFinale 
#سالم_بن_جديع
8 https://t.co/9p63mHhhYs",0,0,0,0
2025-01-12 14:20:18+00:00,1878446914120659303,zxLopy970,,"#LosAngelesFire #EmiratesFACup #LijoNo #حرائق_لوس_أنجلوس #حرائق_كالفورنيا #LisabiALegendIsBorn #StarAcademy #StarAcademy #LosAngelesFires #HarshadChopda #SCPSLB #PSVAZ #FELIP #fundamentalpapereducation #FELIPFiresUpDUNK #Michoacan #MarineEnFinale 
#سالم_بن_جديع
7 https://t.co/9p63mHhhYs",0,0,0,0
